epoch,time_epoch_s,d_loss_mean,g_loss_mean,gp_mean,mmd,emd_mean,n_eval
1,0.06910300254821777,-0.07319942017396291,-0.2042422592639923,0.021650658796230952,0.0,0.028519149186140895,109
2,0.12204718589782715,-0.07750538426140945,-0.21751448015371957,0.01630969438701868,0.006284007441803574,0.05475359069037263,109
3,0.1307697296142578,-0.08553892026344935,-0.17070690045754114,0.021949460233251252,0.011072772928013563,0.0445755167709873,109
4,0.139052152633667,-0.09661431908607483,-0.21617791056632996,0.019947852939367294,0.0,0.046787327262273866,109
5,0.11134719848632812,-0.09749167511860529,-0.18106118341286978,0.022271699892977875,0.0,0.03867878501135453,109
6,0.15518927574157715,-0.09395501166582107,-0.1589206407467524,0.018554480684300264,0.0,0.04166070303533042,109
7,0.1489713191986084,-0.10585562313596407,-0.12202905118465424,0.023619693455596766,0.0,0.03203096404096355,109
8,0.12914037704467773,-0.1100807636976242,-0.12011466423670451,0.021661418490111828,0.0,0.040452242143408,109
9,0.13514423370361328,-0.09085907625655333,-0.11434141049782436,0.027505847563346227,0.0,0.03151472561879255,109
10,0.15880060195922852,-0.06699306642015775,-0.24393136302630106,0.02023548185825348,0.0,0.038783614560496504,109
11,0.12892508506774902,-0.0920100525021553,-0.15009866654872894,0.02436991191158692,0.0068437261890830214,0.044335165769754166,109
12,0.13127613067626953,-0.0922045343865951,-0.17565115292867026,0.02225838794062535,0.0,0.031064676520498644,109
13,0.24434328079223633,-0.11019023557504018,-0.13520129273335138,0.02287870887666941,0.0,0.040274777703265346,109
14,0.23914504051208496,-0.08143771017591159,-0.14169335862000784,0.02866365077594916,0.0,0.03169385584690262,109
15,0.17264986038208008,-0.06925034758945306,-0.19133731722831726,0.01877885889261961,0.0018200656473306154,0.05036862938884151,109
16,0.15981531143188477,-0.10238684564828873,-0.16795575618743896,0.018579327998061976,0.00841908969498828,0.054782572236976766,109
17,0.1449143886566162,-0.09421905875205994,-0.14701396971940994,0.01889930429557959,0.0,0.036566087503672545,109
18,0.14601564407348633,-0.09157479119797547,-0.13122744485735893,0.021109847103555998,0.0,0.035751654402301575,109
19,0.12016034126281738,-0.09332845707734426,-0.10554464161396027,0.028616092105706533,0.0,0.03748834503066479,109
20,0.14899492263793945,-0.10439036848644416,-0.11332618941863377,0.024212550620237985,0.005138405148021441,0.0462520007669705,109
21,0.13719701766967773,-0.10117822500566641,-0.07617162292202313,0.02973744391153256,0.0,0.05893251732529102,109
22,0.09909486770629883,-0.09487911388278007,-0.0815066050272435,0.028570282086730004,0.0,0.04732428450625345,109
23,0.12647676467895508,-0.08738612358768781,-0.12781108419100443,0.02550112127015988,0.0,0.035035642587117416,109
24,0.14571094512939453,-0.09529705420136451,-0.12554272015889487,0.02762145350376765,0.0,0.0349254536164296,109
25,0.09827470779418945,-0.09199511160453161,-0.11368799209594727,0.025349293183535338,0.0,0.04635997485202355,109
26,0.12195134162902832,-0.08250554452339807,-0.1174554576476415,0.026879921928048132,0.0,0.029968673508461448,109
27,0.1564028263092041,-0.09444592793782552,-0.17555299897988638,0.020945757379134497,0.005616798944472201,0.04396142914710151,109
28,0.1520242691040039,-0.09151256357630094,-0.10906090339024861,0.021563381267090637,0.0,0.03793750294065526,109
29,0.16388583183288574,-0.07643947787582875,-0.14367511620124182,0.021884976203242937,0.002425868038790746,0.04580355792379462,109
30,0.1340644359588623,-0.08940562109152476,-0.13684041053056717,0.021211249691744646,0.0,0.0396167731418575,109
31,0.11994218826293945,-0.0987853596607844,-0.08825727800528209,0.02137509041155378,0.0,0.029606042579329066,109
32,0.13869214057922363,-0.09449642958740394,-0.1438757578531901,0.02040799769262473,0.0,0.027668758786295766,109
33,0.10661625862121582,-0.0860103838145733,-0.09848856056729953,0.024568970936040085,0.00529107597482259,0.04910895869245744,109
34,0.09101176261901855,-0.08390496249000232,-0.15453322231769562,0.022068859698871773,0.0,0.036096619511527234,109
35,0.16424870491027832,-0.09241568297147751,-0.1501147523522377,0.020246532869835694,0.0,0.038347815196186456,109
36,0.21533679962158203,-0.09804463535547256,-0.14673486351966858,0.02045798934996128,0.005519451744286918,0.04313022831989363,109
37,0.17461943626403809,-0.09661358098189037,-0.13171758130192757,0.021683199082811674,0.0009114033023944756,0.04012174504523322,109
38,0.11965179443359375,-0.0718675515304009,-0.11895031730333964,0.02101810791840156,0.0,0.050290909197293454,109
39,0.0743408203125,-0.10173138802250227,-0.12814891835053763,0.01984213242928187,0.012687904875427591,0.054671109283254395,109
40,0.09071207046508789,-0.08684947366515795,-0.09360637205342452,0.023290797260900338,0.0,0.03186440315889334,109
41,0.1240682601928711,-0.09078850820660592,-0.1849953681230545,0.02217180635780096,0.0,0.03218914667988397,109
42,0.09865212440490723,-0.060906527439753215,-0.16735540827115378,0.02137809948374828,0.0,0.04347822874989529,109
43,0.10730743408203125,-0.09181397377202909,-0.22458619872728983,0.019908537218968073,0.0024203526198895986,0.04349383997946177,109
44,0.08299803733825684,-0.07103889510035515,-0.19627004861831665,0.01976061469564835,0.0,0.0397006240597414,109
45,0.07664632797241211,-0.08971010272701581,-0.0884607123831908,0.022453409309188526,0.0,0.035160773727749964,109
46,0.07999968528747559,-0.08496777148296436,-0.20498095949490866,0.021156198903918268,0.0,0.04197369933519489,109
47,0.08398628234863281,-0.09827331677079201,-0.16295113414525986,0.020948236001034577,0.0,0.03479427706213355,109
48,0.24772357940673828,-0.09479122459888459,-0.12786686172087988,0.024123212198416392,0.0,0.034528701344988394,109
49,0.09339404106140137,-0.08892648642261823,-0.16470323503017426,0.025320603201786678,0.0,0.03243274192746336,109
50,0.07374119758605957,-0.10409875810146332,-0.09746629868944486,0.018615917302668095,0.0,0.04155575635412915,109
51,0.08327722549438477,-0.08955272790044547,-0.13733681788047156,0.01844969658801953,0.0,0.03823248396207984,109
52,0.09421658515930176,-0.09866409177581469,-0.1875118464231491,0.017447446814427774,0.0,0.04466799122616492,109
53,0.09905815124511719,-0.0734927661716938,-0.1632701406876246,0.024717973979810872,0.0,0.040074994052531475,109
54,0.12226653099060059,-0.09732744644085566,-0.1811108241478602,0.021016780411203702,0.0,0.030857765425644994,109
55,0.13653135299682617,-0.09179815550645193,-0.1494151825706164,0.023324939360221227,0.0,0.031333534512906165,109
56,0.12053060531616211,-0.09462217912077904,-0.15931642055511475,0.02095537104954322,0.020909212903168495,0.04991247365963201,109
57,0.15557861328125,-0.06923083985845248,-0.1937346557776133,0.02176397784302632,0.0,0.041949604149474885,109
58,0.2280263900756836,-0.0892320721099774,-0.12056825077161193,0.02560791075229645,0.0,0.03663024908903827,109
59,0.1642153263092041,-0.09114921862880389,-0.16643154869476953,0.02255293174336354,0.0,0.03697476472428387,109
60,0.10846304893493652,-0.09586958115299543,-0.11248816301425298,0.0267800514275829,0.0,0.04570283812483072,109
61,0.0785970687866211,-0.08841092015306155,-0.15966937939325967,0.01814277401814858,0.00023894786433498183,0.051730064574105006,109
62,0.07753133773803711,-0.1038251576324304,-0.1243906815846761,0.02786877683053414,0.0,0.04415181451728691,109
63,0.12258672714233398,-0.0881148923188448,-0.18611510718862215,0.026336457952857016,0.0,0.04589449683352394,109
64,0.23238110542297363,-0.09561301742990812,-0.10816138982772827,0.02254510819911957,0.0,0.029434160802657643,109
65,0.14678716659545898,-0.08626244415839514,-0.1826013425985972,0.021571581189831098,0.0,0.03647053660824894,109
66,0.09511470794677734,-0.09324783446888128,-0.1117258369922638,0.019727664813399316,0.010495065676149551,0.0502830023557388,109
67,0.1381082534790039,-0.09398121051490307,-0.1615939885377884,0.02520527138064305,0.0,0.04001545850980253,109
68,0.28754496574401855,-0.08549114863077799,-0.148884533594052,0.02581591121852398,0.0,0.037994834713573254,109
69,0.1715855598449707,-0.10358682833611965,-0.07147208601236343,0.022866797695557276,0.0,0.0332677437540307,109
70,0.1632685661315918,-0.09785391452411811,-0.17172478636105856,0.017756935705741248,0.0,0.03621372156057344,109
71,0.16973137855529785,-0.08677522664268812,-0.1636598582069079,0.02366602004816135,0.0,0.04386775381530838,109
72,0.17030668258666992,-0.0991757861028115,-0.11526681606968243,0.0252004141608874,0.0,0.028427321619518425,109
73,0.17065072059631348,-0.08993427976965904,-0.17666847507158914,0.0213846147681276,0.0,0.04026139766038614,109
74,0.1487870216369629,-0.0530198723077774,-0.12315862253308296,0.022431806474924088,0.0,0.04107641024993509,109
75,0.14037322998046875,-0.09731613397598267,-0.19145873685677847,0.017946442899604637,0.0,0.03969610523597204,109
76,0.12691497802734375,-0.0762397954861323,-0.17106689512729645,0.017842392871777215,0.0,0.04151463758809895,109
77,0.13670563697814941,-0.07992002715667089,-0.20306537051995596,0.02251630655179421,0.0,0.03600358254433808,109
78,0.13074851036071777,-0.09413119008143743,-0.13850135107835135,0.023411349082986515,0.0224554195917559,0.06299381785495366,109
79,0.12110304832458496,-0.07901548519730568,-0.17257906248172125,0.02449942591289679,0.0,0.04194548960241595,109
80,0.14822173118591309,-0.08921598196029663,-0.11511402577161789,0.019468209892511367,0.0,0.035081640427987185,109
81,0.1335158348083496,-0.08198465543488662,-0.152290145556132,0.02107151212791602,0.0,0.03155772570211144,109
82,0.1353752613067627,-0.09169766269624233,-0.13624031841754913,0.02191753921409448,0.0,0.0398355881074988,109
83,0.1460740566253662,-0.0753989697744449,-0.1392690340677897,0.02310551262150208,0.0,0.041975451887050715,109
84,0.19079041481018066,-0.08128059307734171,-0.15291361386577287,0.023246058076620103,0.0,0.03701690114297873,109
85,0.1455855369567871,-0.09196011970440547,-0.11303244531154633,0.01836396815876166,0.0,0.026860610556301727,109
86,0.1493542194366455,-0.1081509088476499,-0.09083566069602966,0.024098535316685835,0.0,0.03673781133382639,109
87,0.16490983963012695,-0.09080318349103132,-0.10687755544980367,0.02376195751130581,0.0,0.033440354803271344,109
88,0.13399600982666016,-0.09378592694799105,-0.1388397365808487,0.02444735529522101,0.0,0.03482857267809013,109
89,0.12515997886657715,-0.09573768638074398,-0.1336347982287407,0.020025019720196723,0.0,0.03460666113727695,109
90,0.10535550117492676,-0.09694310650229454,-0.11744202425082524,0.021287091138462225,0.0,0.03595964457112517,109
91,0.11996221542358398,-0.05242588606973489,-0.16656350592772165,0.017088665378590426,0.03028203118635453,0.060271030326091886,109
92,0.1495838165283203,-0.09507412960131963,-0.17901803304751715,0.02087232880294323,0.0,0.0450847720925266,109
93,0.1784665584564209,-0.09453863054513931,-0.13117236271500587,0.01901024952530861,0.0,0.04235413620496692,109
94,0.22096562385559082,-0.06061313425501188,-0.18244380752245584,0.018617316087086996,0.0,0.045802180974997705,109
95,0.1859126091003418,-0.09337587282061577,-0.18989437321821848,0.019018761192758877,0.0,0.05165937842794563,109
96,0.170457124710083,-0.09329951430360477,-0.1356145218014717,0.021045610929528873,0.0,0.03028353344801923,109
97,0.19003868103027344,-0.0970126062631607,-0.1460321918129921,0.022006756501893203,0.0,0.04006069134417672,109
98,0.17675161361694336,-0.08951381978889307,-0.11024748782316844,0.02458215629061063,0.0,0.04531321668034752,109
99,0.20079517364501953,-0.0875556449095408,-0.1375797502696514,0.023516290262341498,0.0,0.03483879605733487,109
100,0.17599225044250488,-0.09077417477965355,-0.16579287747542062,0.025165000061194102,0.0,0.04984997394784263,109
101,0.16247129440307617,-0.09900840061406295,-0.14346624662478766,0.0184826768313845,0.0,0.03544513056093632,109
102,0.1582200527191162,-0.08354105403025945,-0.16354887187480927,0.02331510738780101,0.0,0.044208999343570504,109
103,0.14722776412963867,-0.07668072457114855,-0.1621109942595164,0.028520077591141064,0.0,0.035132240394493953,109
104,0.3330259323120117,-0.08999511078000069,-0.19429528216520944,0.019988351874053477,0.013642414976820838,0.05361292974880507,109
105,0.21085572242736816,-0.09517324343323708,-0.18812684963146845,0.02199131834010283,0.0,0.039398295947736924,109
106,0.19616007804870605,-0.07076223244269689,-0.14468160147468248,0.021034250843028228,0.006971945853590178,0.044126784164557266,109
107,0.11238574981689453,-0.09426397122442723,-0.19402737418810526,0.02058500088751316,0.0,0.041829094424118446,109
108,0.13652777671813965,-0.09908194268743196,-0.13913830121358237,0.02188290680448214,0.02912765899849923,0.04842522378918826,109
109,0.19637131690979004,-0.0977514035999775,-0.198972354332606,0.020237296322981515,0.0,0.04207507001922467,109
110,0.21189355850219727,-0.09761657963196436,-0.16135880102713904,0.022084323068459828,0.0,0.03448067036730654,109
111,0.22090411186218262,-0.10102460583051046,-0.16165638466676077,0.022293275222182274,0.0,0.04450352789803762,109
112,0.3530914783477783,-0.09478650391101837,-0.19664589067300162,0.024547439999878407,0.0,0.04982635233825744,109
113,0.22398066520690918,-0.08443665156761805,-0.24037379026412964,0.026656724947194257,0.0,0.031751003336383504,109
114,0.2653181552886963,-0.08809900358319282,-0.1692307045062383,0.021473522235949834,0.0,0.0453680327230263,109
115,0.19302964210510254,-0.0795171337823073,-0.22124624252319336,0.01873726472258568,0.0,0.04186669286676545,109
116,0.19794392585754395,-0.09892440587282181,-0.24471089243888855,0.020881390074888866,0.0,0.046559701294417014,109
117,0.2424304485321045,-0.09499914050102234,-0.1861837754646937,0.015083166832725207,0.0,0.02213799767338582,109
118,0.23757290840148926,-0.09686418746908505,-0.20565507312615713,0.02125457413494587,0.0,0.04509978974902588,109
119,0.15130376815795898,-0.08401449769735336,-0.15510966628789902,0.02371904216706753,0.0,0.05061449537672684,109
120,0.13882231712341309,-0.09000861905515194,-0.20030908038218817,0.022171724184105793,0.0,0.04919015128052981,109
121,0.18093585968017578,-0.09288750166694323,-0.20381997028986612,0.021040673553943633,0.0,0.032891909216856224,109
122,0.21148896217346191,-0.08845628636578719,-0.15014809866746268,0.025042583917578062,0.0,0.042876512023442746,109
123,0.16116070747375488,-0.09013249104221661,-0.25566358864307404,0.023020051730175812,0.0,0.04416951295235225,109
124,0.14349889755249023,-0.09182767557601133,-0.15684260179599127,0.02088995762169361,0.0,0.03735278346827374,109
125,0.14459729194641113,-0.08815677401920159,-0.1727842092514038,0.020930020759503048,0.0,0.043784399884757665,109
126,0.18568086624145508,-0.07213093489408492,-0.2195772429307302,0.020314102930327257,0.0,0.04308069908467407,109
127,0.1864786148071289,-0.05425903672973315,-0.24922743439674377,0.028136033564805984,0.0,0.04482121341866528,109
128,0.13654685020446777,-0.07360725849866867,-0.32798444231351215,0.02155271265655756,0.0,0.0384537187059838,109
129,0.2625117301940918,-0.08700606257965167,-0.18143859008948007,0.02277868806074063,0.0,0.031206273551646783,109
130,0.20540261268615723,-0.09242206588387489,-0.14364801595608392,0.019186420800785222,0.0,0.05418979910095045,109
131,0.17363262176513672,-0.09055222670237223,-0.15293167779843012,0.02224420178681612,0.0,0.03346576934068479,109
132,0.15712904930114746,-0.07704708029826482,-0.19072857995827994,0.023608542419970034,0.0,0.04123266981578799,109
133,0.1235353946685791,-0.08268114974101384,-0.19818085432052612,0.024435134294132393,0.0,0.047571894102070036,109
134,0.11182498931884766,-0.09948740204175313,-0.19247627755006155,0.02112499587237835,0.025477934452856843,0.05102052873002399,109
135,0.1645827293395996,-0.08478347634275754,-0.23658303916454315,0.020123727402339378,0.0,0.03658257720462224,109
136,0.13007378578186035,-0.08379411722222964,-0.2176509847243627,0.022815675288438798,0.0,0.04302498193222278,109
137,0.09467101097106934,-0.09010499964157741,-0.19197740157445273,0.023163846507668496,0.0,0.03156490162407519,109
138,0.12302064895629883,-0.06824823891123136,-0.2749757568041484,0.02465873695909977,0.0,0.042848953812987825,109
139,0.136505126953125,-0.05971863865852356,-0.20082291464010874,0.01979946910093228,0.0,0.025912624627525485,109
140,0.12453532218933105,-0.07888279606898625,-0.20060245196024576,0.023073983068267506,0.0,0.03411770515071716,109
141,0.1231837272644043,-0.08883205391466617,-0.17732813706000647,0.02514816224575043,0.0,0.038088160938897525,109
142,0.12947463989257812,-0.0873446062207222,-0.23828162252902985,0.018161916360259055,0.0,0.03709429184356504,109
143,0.1274096965789795,-0.10569253489375115,-0.17420129726330438,0.01887684573108951,0.0,0.038376180397533606,109
144,0.13419437408447266,-0.07382478093107542,-0.22066088020801544,0.021418067316214245,0.0,0.04284582047929241,109
145,0.12720298767089844,-0.08489613657196363,-0.17201914886633554,0.02147419676184654,0.0,0.025854755433657964,109
146,0.12640023231506348,-0.0607936525096496,-0.24150770405928293,0.018832753847042718,0.0,0.038804820072281775,109
147,0.20104551315307617,-0.07189185172319412,-0.1958453208208084,0.019935435429215432,0.0,0.036870325053496154,109
148,0.26412343978881836,-0.08140839003026486,-0.1826185310880343,0.022076180453101793,0.011038602982167411,0.049819336523466574,109
149,0.121002197265625,-0.09072949141263961,-0.15371533731619516,0.019835331353048484,0.0,0.04492853061727053,109
150,0.11609601974487305,-0.092351699868838,-0.16108141839504242,0.018614267061154047,0.0,0.042933942060860625,109
151,0.11987757682800293,-0.09923934812347095,-0.17354964713255563,0.016837883492310843,0.0,0.04696924086407615,109
152,0.2354106903076172,-0.08191717515389124,-0.225299338499705,0.017933484291036923,0.0,0.03368797433343273,109
153,0.24389052391052246,-0.09462457050879797,-0.18343781431516012,0.020749397451678912,0.0,0.04491388227811478,109
154,0.17771315574645996,-0.09101905624071757,-0.14234974483648935,0.021270330374439556,0.0,0.03381283825859575,109
155,0.14284086227416992,-0.08207225874066353,-0.17561067889134088,0.024631691289444764,0.0,0.03604772054992811,109
156,0.10119485855102539,-0.08600112063189348,-0.21527725954850516,0.023658759767810504,0.0,0.037328929045578406,109
157,0.1360769271850586,-0.09707841674486796,-0.22385182480017343,0.025138326299687225,0.0,0.03838330113436269,109
158,0.15036344528198242,-0.08960756907860438,-0.1789052685101827,0.022602229254941146,0.0,0.039648909567832485,109
159,0.28711748123168945,-0.09880089101692041,-0.17194021989901861,0.02784086757649978,0.011807633950477125,0.06392818804812271,109
160,0.15587258338928223,-0.07679553913573424,-0.19319060941537222,0.024630132069190343,0.0,0.046428059212100144,109
161,0.13504314422607422,-0.09749539097150167,-0.21521963675816855,0.022028005744020144,0.0,0.034622052081701105,109
162,0.17747902870178223,-0.06363185569643974,-0.15553845465183258,0.02255756159623464,0.0,0.032752283992650184,109
163,0.17658519744873047,-0.08794992988308271,-0.1296136404077212,0.022769136354327202,0.0,0.03476200045383592,109
164,0.18995976448059082,-0.09865172853072485,-0.20255074401696524,0.02057614823182424,0.0054499778159202705,0.04744484515595567,109
