cond,run,epoch,MMD2,SlicedWasserstein,EnergyDistance,corrcoef,frob,gmm_coverage_frac,knn_median_kth,KS_mean,W_mean
cond_1,run_0,400,0.024756210983844396,119.16194050295503,71.93446501958874,0.8924303439425212,1.8379227066590296,0.6666666666666666,278.653844582067,0.17227319062181448,63.97191676315798
cond_1,run_0,2000,0.0110885862092589,87.29151612389973,39.996697209534204,0.9820245933886185,0.8299433745834446,0.6666666666666666,232.4527868862084,0.10805300713557596,48.33494832883022
cond_1,run_0,4500,-0.0010107668523420266,83.4024754501346,23.01789761357827,0.9328303999712388,1.1460070921938779,0.6666666666666666,207.97359228642208,0.1111111111111111,43.09915382544495
cond_1,run_1,400,-0.005807986775788976,53.761554897019394,9.680557520777029,0.9897671437949307,0.47562499764492855,0.6666666666666666,195.24513086579367,0.08970438328236494,28.895118402994317
cond_1,run_1,2000,-0.004683638726798112,65.63241075655276,14.16632344231698,0.9827422712563139,0.620291218417187,0.6666666666666666,202.00137344507294,0.07747196738022427,34.845342485757776
cond_1,run_1,4500,-0.004517902901744808,56.828411286619776,13.272778671654578,0.9882288748681677,0.4880946094198575,0.6666666666666666,189.46884051920827,0.08562691131498472,29.85260799826595
cond_1,run_2,400,-0.0056188249389423905,55.06963637655481,8.79651498582166,0.9931779667007412,0.3679644363427416,0.6666666666666666,182.17304297580986,0.07441386340468908,28.47650341466438
cond_1,run_2,2000,-0.006723848970497492,50.421211894550645,7.947514445559136,0.996711590170938,0.40619441506152504,0.6666666666666666,193.6245372020387,0.08970438328236494,25.01704565435569
cond_1,run_2,4500,-0.007844162692034917,45.78962699530542,6.620235048812674,0.9915277221399311,0.40673659463141254,0.6666666666666666,179.97348868554522,0.07747196738022427,23.052468282368167
cond_1,run_3,400,-0.00566574896779759,59.73564311383486,12.50170457795366,0.9916479762554105,0.6553008170266666,0.6666666666666666,194.488293054747,0.1111111111111111,30.287068215971242
cond_1,run_3,2000,-0.005762228485775678,47.55028392181476,8.134330558687452,0.9971929915190668,0.6220625758604721,0.6666666666666666,201.85008438692458,0.0835881753312946,25.197693861314534
cond_1,run_3,4500,-0.00638756361972348,52.3909080121544,10.978309846615502,0.9978216350030926,0.3996773956642476,0.6666666666666666,197.0914798392938,0.10703363914373089,27.717397485036226
cond_1,run_4,400,-0.0060153362309194325,40.09063884752747,7.650086290989293,0.9966516339401512,0.46596008890565255,0.6666666666666666,187.02960789247288,0.08154943934760449,22.13046882305288
cond_1,run_4,2000,-0.005276848346503771,55.312954784111696,9.706367110623205,0.9901900706897767,0.5762351433826465,0.6666666666666666,181.42280326157774,0.07951070336391439,30.30070278785287
cond_1,run_4,4500,-0.0064403125709269204,38.532909732229484,6.568289822037968,0.9937862098160449,0.4376979302949093,0.6666666666666666,191.3490031844388,0.08154943934760449,20.79203123493045
cond_1,run_5,400,-0.002002667540748515,48.65259670181465,15.36599167390159,0.9911737982529879,0.42997597917227665,0.6666666666666666,199.3259975640351,0.09378185524974517,25.828773336945993
cond_1,run_5,2000,-0.006683670928033569,40.88597452470904,7.187547123200147,0.996710767607255,0.3064771744701555,0.6666666666666666,197.88580326574532,0.07645259938837921,20.796993100457506
cond_1,run_5,4500,-0.0014386398455497051,64.7368646215597,17.3218696135923,0.9851013792826755,0.5517102323935249,0.6666666666666666,199.57188692648742,0.0927624872579001,33.52143992202748
cond_1,run_6,400,-0.0007079905956453025,71.74836984944727,17.72821139901862,0.9679577599250304,0.7757967284280445,0.6666666666666666,168.9395526306135,0.11213047910295619,37.58996210682929
cond_1,run_6,2000,-0.00033191794375397876,67.26916477662114,17.845893931792943,0.9898257412715491,0.6526012670544755,0.6666666666666666,183.90309828991607,0.09683995922528034,35.752701108443325
cond_1,run_6,4500,0.002720204897127765,77.25991542407466,22.750512071931098,0.9139038330406223,1.1524311777252412,0.6666666666666666,181.426237869655,0.12028542303771664,41.08736331130112
cond_2,run_0,400,0.013681371645606566,125.26999824778923,67.51456881286572,0.6691118952110098,2.4990768976406197,0.6666666666666666,271.8488559081831,0.16615698267074416,64.93021796883993
cond_2,run_0,2000,-0.0020579418207129496,66.7314909796859,20.2603859510416,0.786820991867164,1.712704293347199,0.6666666666666666,230.97280335104094,0.10907237512742102,37.228240578821165
cond_2,run_0,4500,-0.002771683671802805,72.60118806905895,17.40007530019375,0.8104702110294436,1.6573398184904748,0.6666666666666666,206.73195736604671,0.08562691131498472,36.678085095456254
cond_2,run_1,400,-0.004120956011139709,71.09293399106136,16.367042766405348,0.728056379026987,1.9243327800614933,0.6666666666666666,206.09563659240942,0.09582059123343528,36.19058435525711
cond_2,run_1,2000,-0.0063827836221102,63.10734231685488,13.074434529930159,0.8126995710738889,1.6529571471038444,0.6666666666666666,200.30369992186016,0.0835881753312946,30.024625434592565
cond_2,run_1,4500,-0.007857690530215455,53.60394669936746,8.98439070611289,0.7868070351786298,1.732798578996418,0.6666666666666666,212.96271133404917,0.0835881753312946,26.32359824105346
cond_2,run_2,400,-0.002006191541970459,79.1393031597712,17.66982256966162,0.6908728249729355,2.084586176742514,0.6666666666666666,201.18889663735644,0.08664627930682978,41.044739955690936
cond_2,run_2,2000,-0.004722350245384366,75.3982158720426,15.201309213809736,0.6214040873914287,2.275292530316197,0.6666666666666666,203.60798771745084,0.0835881753312946,37.50463097541925
cond_2,run_2,4500,-0.0051477765009999565,73.96619215615277,13.988329418111334,0.6506171274348356,2.1983248820038805,0.6666666666666666,179.29703123184674,0.07135575942915391,36.717170729388506
cond_2,run_3,400,0.00026387069928945905,62.443725162149356,16.682456114526076,0.7878219406497694,1.72217637269601,0.6666666666666666,186.56619501418604,0.07951070336391439,32.34507782690252
cond_2,run_3,2000,0.002298210451346261,63.82838421439032,20.487168259940972,0.8099030917985391,1.645852291801381,0.6666666666666666,190.20024142514254,0.09683995922528033,34.276989960627446
cond_2,run_3,4500,-0.0005624887908004528,60.855285092524916,15.008419128562537,0.8043237409142187,1.6658321227449342,0.6666666666666666,184.1816695369382,0.09174311926605505,32.67411085238122
cond_2,run_4,400,-0.0070397147847127695,54.345214377543655,11.34955882594113,0.8567791005981077,1.4797271631021447,0.6666666666666666,198.8025448089475,0.07645259938837921,28.331637085911996
cond_2,run_4,2000,-0.006313226100399305,58.996140422511104,12.669574425634892,0.8636137903896598,1.4610942756538403,0.6666666666666666,203.7359483363961,0.0835881753312946,31.90928334590143
cond_2,run_4,4500,-0.006488861498811227,57.53953980019228,10.718203527629612,0.8620176132136609,1.4790168136226007,0.6666666666666666,181.56190227321386,0.09276248725790011,31.978056870264354
cond_2,run_5,400,-0.0037509462551224004,51.88383475513361,12.647909368777619,0.8594416950837642,1.4730057681433095,0.6666666666666666,181.2999013683261,0.09072375127421,28.54330100228354
cond_2,run_5,2000,-0.002724670339627311,50.71403849546697,11.106483586866716,0.8571797973702187,1.4874103961790097,0.6666666666666666,183.49439707687682,0.08970438328236494,26.189991153070636
cond_2,run_5,4500,-0.006435625837487136,38.124372983803,6.291777733158369,0.8617102292057243,1.4567956495003656,0.6666666666666666,175.2698697091174,0.06829765545361875,20.55472024959946
cond_2,run_6,400,-0.00597025165283771,56.163472023983616,9.58428526897751,0.8694405858214358,1.4259748966515486,0.6666666666666666,186.0041728792267,0.08460754332313966,30.19933174362499
cond_2,run_6,2000,-0.004539694099547464,63.89219880937476,13.345469005863833,0.8686701273502502,1.4308590553898646,0.6666666666666666,180.6266477006878,0.08766564729867482,34.650029176347395
cond_2,run_6,4500,-0.005628117101118546,56.17274022405456,9.877726135996,0.8645587633282106,1.446343657642888,0.6666666666666666,184.85631142921693,0.0927624872579001,32.24875820884113
cond_3,run_0,400,0.11241348334258838,336.3400482252223,493.4566386388192,0.581925905370151,3.150525083924058,0.6666666666666666,348.26357044704855,0.1946992864424057,161.0531226423882
cond_3,run_0,2000,0.005366384887949938,89.65437404615965,38.75629181472573,0.780073432020268,1.753241788245749,0.6666666666666666,236.46725531122942,0.10601427115188584,46.869058095452125
cond_3,run_0,4500,-0.006190025159303891,53.34702061901982,8.936992106490834,0.7929598290920246,1.7035905794373716,0.6666666666666666,191.5511729646678,0.08766564729867483,29.33147036269895
cond_3,run_1,400,-0.00495138054401445,57.90573370370712,13.131824675564758,0.874688482693239,1.3877063359197301,0.6666666666666666,184.24227314257655,0.0927624872579001,31.13910625049499
