226Ra,IA,232Th,Raeq,Theq,Keq,IG,IB,40K
0.25446756040187224,-0.30645296505627617,0.3234791920069946,0.2914917526024902,0.2914917526024904,0.2914917526024902,0.30642726936778714,0.2914917526024902,0.5449050552613801
0.1645404119740336,-0.40491935742505847,0.19332662378355464,0.09275185677456868,0.09275185677456868,0.1860663114624822,0.09275185677456868,0.07797103294116264,-0.2696885895468394
0.14333513243170456,-0.42657049635161715,0.2548320180755805,0.2347684352850265,0.2347684352850265,0.244467704020861,0.2347684352850265,0.20874291979974302,0.30954843631074946
0.3359268762604798,-0.20747835764156872,0.17906190844290285,0.14116734077001195,0.13538682141508854,0.20874291979974302,0.13538682141508657,0.13538682141508648,-0.19851858198736072
0.3710662539928806,-0.1617664310972346,0.34353521632658485,0.3234791920069946,0.3234791920069946,0.3234791920069946,0.3234791920069946,0.3234791920069946,0.4036785152688691
0.2718925568100007,-0.2860717137248049,0.2781322754832474,0.2781322754832458,0.2781322754832458,0.2781322754832458,0.2781322754832458,0.2781322754832458,0.5149745375401182
0.28016625923727845,-0.276263369636086,0.244467704020861,0.2548320180755808,0.2548320180755808,0.2548320180755808,0.2548320180755807,0.2548320180755805,0.2730650380347768
0.36346175444224116,-0.17181227178241484,0.3682211040486419,0.34353521632658485,0.34353521632658485,0.34353521632658485,0.34353521632658485,0.34353521632658485,0.5020172185085021
0.046013778756248416,-0.5187201004088057,0.30642726936778714,0.26599429351645143,0.26599429351645143,0.26599429351645143,0.26599429351645143,0.2659942935164513,0.3177467416258575
0.2386587575853131,-0.3245564457006772,0.21697834143207798,0.20087343401358002,0.20087343401358002,0.22563207451492334,0.19332662378355464,0.17906190844290285,0.11607255211935064
-0.8208241582236842,-0.9614029506459137,-0.2659942935352696,-0.254832018094399,-0.254832018094399,-0.254832018094399,-0.193326623802373,-0.24446770403967927,0.5835651393781096
-0.23814059034685608,-0.7279501744433647,0.0927518567745697,0.008931084774437393,0.008931084774437393,0.07797103294115117,-9.409140133698202e-12,-0.01340265356107146,0.3488795914747729
-0.27083631980861333,-0.7471035482659418,0.14116734077001195,0.01788147952199062,0.01788147952199062,0.11337132633344295,0.01788147952199062,0.017881479521990568,0.3721218690817456
-1.0,-1.0,-0.23476843530384486,-0.2659942935352696,-0.2659942935352696,-0.2659942935352696,-0.22563207453374093,-0.254832018094399,0.5670847099436931
-0.2920426865168411,-0.7590339883146989,0.04964927171360548,-0.02687078819364812,-0.02237002467411014,0.02687078817482984,-0.022370024674109954,-0.02237002467411014,0.36751532800064823
-0.40311134567872187,-0.8158718509198708,-0.0178814795408089,-0.2781322755020641,-0.2781322755020641,-0.2781322755020641,-0.3064272693866055,-0.3064272693866055,-0.6184314779428322
-0.4927003349679564,-0.8553463669868108,0.0359192143318127,-0.10810253343662078,-0.10810253343662078,-0.0977986235890211,-0.10291365133134125,-0.13538682143390485,-0.23147421792529688
-0.22228641238675745,-0.7183331565314632,0.22563207451492276,0.09779862357020279,0.09779862357020279,0.19332662378355464,0.09779862357020279,0.08284272609716378,-0.175749223139411
-0.3500711490893129,-0.7898787149174862,0.008931084774437393,-0.193326623802373,-0.19332662380237253,-0.1933266238023729,-0.15313154015666483,-0.20874291981856133,-0.3853785913674759
-0.3364631376290514,-0.7828942036539472,0.022370024655291833,-0.10291365133134125,-0.10291365133134125,-0.09275185679338696,-0.0977986235890211,-0.1187266131797265,-0.30448341930204803
-0.35769364683306704,-0.7937504953070071,0.07797103294115108,-0.07314886478642131,-0.06837225170267908,-0.06363744737005811,-0.07314886478642131,-0.0927518567933869,-0.24975635699125653
0.14145156481697774,-0.42847778037127426,0.18606631146248195,0.07314886476760303,0.07314886476760303,0.1657199799835556,0.05427925048665576,0.05894090406132502,-0.3941004157335435
-0.5255960352683131,-0.868555270164888,-0.06837225170267902,-0.32347919202581316,-0.32347919202581316,-0.32347919202581316,-0.32347919202581316,-0.32347919202581316,-0.52701757496094
0.10143680683889562,-0.46766421752150367,0.1722872971016688,0.08284272609716378,0.08284272609716378,0.17906190844290285,0.07797103294115117,0.07314886476760303,-0.20884952250739774
0.08514196750217487,-0.4830658807305914,0.20087343401358002,0.07797103294115214,0.07797103294115196,0.1722872971016688,0.07314886476760303,0.06837225168386077,-0.2435810221262329
-0.34618063309391367,-0.7878904906118711,-0.01340265356107146,-0.1470782886624741,-0.1470782886624741,-0.1470782886624741,-0.12972609289598108,-0.17906190846172113,-0.2410896505004414
