226Ra,232Th,40K,Raeq,Theq,Keq,IA,IB,IG
0.5195251986214158,0.5308736829266789,0.5449050552613801,0.6366726522916564,0.6189501762011758,0.7322900728131252,-0.3011408216756034,-0.05001668513322188,-0.037546283854490214
0.45797342614873027,0.408383220834754,-0.2696885895468394,0.5195273295962308,0.49550348422172297,0.6459330634045355,-0.3999471988928698,-0.30772180825493123,-0.2963033320924986
0.4432706687698136,0.4829023915600983,0.30954843631074946,0.5884968241839095,0.5683212674341005,0.696663676494554,-0.421689988086249,-0.16208447437519324,-0.1463484590248343
0.5743044947481935,0.4069447152169592,-0.19851858198736072,0.5479945973296216,0.5254215535123454,0.667310672636765,-0.2019475065747608,-0.24651310752278355,-0.24243925344265627
0.5976866344673111,0.5313246535572247,0.4036785152688691,0.6449085192397321,0.6274693068486057,0.7385553129258673,-0.15617478584939726,-0.029891058202279996,-0.022896894366546405
0.5313153448548555,0.49990318967714065,0.5149745375401182,0.6202578846516917,0.6017523910421496,0.7202753943078637,-0.28070461908694533,-0.08630222337328686,-0.07508095618225674
0.5368992138904789,0.47921693875372706,0.2730650380347768,0.6002078236861654,0.5805556308683253,0.7055413435672759,-0.27087168076856727,-0.13388446065785375,-0.12385354054989817
0.5926382811774569,0.5388066936154887,0.5020172185085021,0.6515892118968594,0.634540065528741,0.7434521079708996,-0.16623184980729888,-0.013015553645492006,-0.005398616209446372
0.37471856811305204,0.5280365199744006,0.3177467416258575,0.6070337953921945,0.5877160350076149,0.7101200489564428,-0.5142998867779471,-0.12564876861027607,-0.10585603862555504
0.5087922232427327,0.46131085864151755,0.11607255211935064,0.5784032859333073,0.5575778566811413,0.6894170057580755,-0.31929749694295695,-0.18372000799585775,-0.17263988216473125
-0.47769742425587103,-0.06914972284957055,0.5835651393781096,0.2905343977931436,0.2586887192718852,0.4757274397524074,-0.9609136619218801,-0.6210314277080253,-0.5948227817034984
0.16053394128791343,0.28424691263651836,0.3488795914747729,0.44730698353733556,0.42089541328381497,0.5921565381963787,-0.7250175259735365,-0.42282650759642104,-0.400271988053039
0.13400650469776543,0.3182829663355513,0.3721218690817456,0.46356348096384603,0.43787219410202316,0.6040853474137806,-0.7443392129913315,-0.39760915032392463,-0.37350422309466214
-1.0,-0.06368339337871098,0.5670847099436931,0.28072686417067594,0.24851156327037938,0.46828094974881007,-0.9999999999999999,-0.63267162678883,-0.6051112187614522
0.11652415809006245,0.25105120599398933,0.36751532800064823,0.4277897528992023,0.400592876993334,0.5776964960811433,-0.7563773136726691,-0.45237498303643964,-0.4293379723455779
