Arquivo_Fake,Variável,Média_Real,Média_Fake,Diff_Média_%,Std_Real,Std_Fake,Min_Real,Min_Fake,Max_Real,Max_Fake
samples_epoch3600,226Ra,0.15032857883825365,0.166853075206422,10.992252102607797,0.3639511363414195,0.3464778848711424,-1.0,-0.7279887,0.9999999999999996,0.8998527
samples_epoch3600,232Th,-9.236496251836902e-12,-0.0007502341605504619,8122497220.358459,0.22908572043810344,0.20412556151257702,-1.0,-0.47313502,1.0000000000000002,0.49748397
samples_epoch3600,40K,0.027077678109019922,0.01342538890825687,-50.41898033426765,0.5471082257318595,0.5595945420167513,-1.0,-0.95756334,1.0,0.99053943
samples_epoch3600,Raeq,-9.236493960092126e-12,-0.006936048716513766,75093955966.90338,0.22908572043810346,0.2095499162433295,-1.0,-0.4955073,1.0000000000000002,0.502444
samples_epoch3600,Theq,-9.236460347835418e-12,-0.004288968914587155,46435200756.920074,0.22908572043810346,0.2098449942802217,-1.0,-0.5001137,1.0000000000000002,0.49283502
samples_epoch3600,Keq,-9.23644557881353e-12,-0.009004123017431193,97484718892.82083,0.2290857204381034,0.21010458161191373,-1.0,-0.5061219,1.0000000000000002,0.50592965
samples_epoch3600,IA,-0.3402678450458436,-0.3263177519128442,-4.099738878094688,0.3678605442743111,0.34060701956292777,-1.0,-0.9497609,1.0,0.80799115
samples_epoch3600,IB,-9.236391850130457e-12,-0.0054183106826271536,58662633215.52595,0.2290857204381035,0.20498274472810285,-1.0,-0.48179495,1.0000000000000002,0.53291327
samples_epoch3600,IG,-9.236413239748362e-12,-0.0018210510526605517,19715997932.91353,0.22908572043810346,0.20770575686930756,-1.0,-0.46391886,1.0000000000000002,0.4769043
samples_epoch4000,226Ra,0.15032857883825365,0.16488422270532105,9.68255269859803,0.3639511363414195,0.33644087685333857,-1.0,-0.73886424,0.9999999999999996,0.85104835
samples_epoch4000,232Th,-9.236496251836902e-12,-0.010086731926605504,109205175234.74353,0.22908572043810344,0.20101022673128963,-1.0,-0.4792709,1.0000000000000002,0.49167743
samples_epoch4000,40K,0.027077678109019922,0.02990036303669725,10.424397972058962,0.5471082257318595,0.5484155612290524,-1.0,-0.96636873,1.0,0.99093074
samples_epoch4000,Raeq,-9.236493960092126e-12,-0.006118735412183488,66245216305.92789,0.22908572043810346,0.20575692414354305,-1.0,-0.48470244,1.0000000000000002,0.5047864
samples_epoch4000,Theq,-9.236460347835418e-12,-0.012587563550458718,136281249171.08723,0.22908572043810346,0.20247661799475378,-1.0,-0.49757972,1.0000000000000002,0.48599893
samples_epoch4000,Keq,-9.23644557881353e-12,-0.008478201337614674,91790735473.23709,0.2290857204381034,0.2056515799782003,-1.0,-0.5197126,1.0000000000000002,0.49278688
samples_epoch4000,IA,-0.3402678450458436,-0.333816604933945,-1.8959299874572229,0.3678605442743111,0.33981441820431446,-1.0,-0.9544526,1.0,0.719793
samples_epoch4000,IB,-9.236391850130457e-12,-0.009676819074311926,104768390320.50008,0.2290857204381035,0.20220627075209505,-1.0,-0.47417456,1.0000000000000002,0.51010424
samples_epoch4000,IG,-9.236413239748362e-12,-0.005547636144036701,60062667085.166374,0.22908572043810346,0.2034573881407303,-1.0,-0.45684874,1.0000000000000002,0.47293353
samples_epoch4400,226Ra,0.15032857883825365,0.15696070709633028,4.411754776989199,0.3639511363414195,0.347464073370121,-1.0,-0.7347721,0.9999999999999996,0.829656
samples_epoch4400,232Th,-9.236496251836902e-12,-0.013110049947706426,141937479115.66223,0.22908572043810344,0.19158241597424358,-1.0,-0.4336361,1.0000000000000002,0.42670983
samples_epoch4400,40K,0.027077678109019922,0.0335797854587156,24.012795053981172,0.5471082257318595,0.5478224562303071,-1.0,-0.96604073,1.0,0.9845666
samples_epoch4400,Raeq,-9.236493960092126e-12,-0.008814425018348622,95430420321.78423,0.22908572043810346,0.20039041877226657,-1.0,-0.5219233,1.0000000000000002,0.4626582
samples_epoch4400,Theq,-9.236460347835418e-12,-0.009992091110091743,108180955956.75836,0.22908572043810346,0.19908663524859144,-1.0,-0.5141275,1.0000000000000002,0.45349604
samples_epoch4400,Keq,-9.23644557881353e-12,-0.004480301762385322,48506773681.70446,0.2290857204381034,0.20522955241619337,-1.0,-0.5488367,1.0000000000000002,0.46751153
samples_epoch4400,IA,-0.3402678450458436,-0.34086467838256873,0.17540103933261778,0.3678605442743111,0.3385198184951788,-1.0,-0.95272404,1.0,0.6626563
samples_epoch4400,IB,-9.236391850130457e-12,-0.014345764352293573,155317840297.7193,0.2290857204381035,0.20211514606939082,-1.0,-0.53557146,1.0000000000000002,0.46547374
samples_epoch4400,IG,-9.236413239748362e-12,-0.006194604678256878,67067210054.681694,0.22908572043810346,0.19961304934389704,-1.0,-0.54102737,1.0000000000000002,0.4272053
