epoch,time_epoch_s,d_loss_mean,g_loss_mean,gp_mean,mmd,emd_mean,n_eval
1,0.13477277755737305,-0.0795654204984506,-0.9487154086430868,0.024938096726934113,0.0,0.03244468011445768,109
2,0.1966712474822998,-0.10696246922016144,-0.9564836621284485,0.027138444905479748,0.0,0.0371124221253102,109
3,0.1413581371307373,-0.08951980297764142,-0.9442394375801086,0.025685847426454227,0.0,0.04009628554616773,109
4,0.19092702865600586,-0.09208397716283798,-0.9484370350837708,0.024961076552669208,0.0,0.03510273048423304,109
5,0.18094396591186523,-0.09566188007593154,-0.9847968419392904,0.023706037551164627,0.0,0.055226307816766775,109
6,0.17723917961120605,-0.08910072520375252,-0.9724195599555969,0.022257937118411064,0.0,0.03258476635218778,109
7,0.2687349319458008,-0.08271475359797478,-0.9639075398445129,0.02527295649051666,0.002608955557136916,0.06358751106286048,109
8,0.20186209678649902,-0.08350233063101768,-0.9553591211636862,0.027878382181127866,0.0,0.062371611412374045,109
9,0.20963764190673828,-0.08746277540922165,-0.9403275450070699,0.027383898881574473,0.0,0.04559990260859229,109
10,0.2398848533630371,-0.07998853102326393,-0.9246444503466288,0.02823771263162295,0.0,0.032409870735028594,109
11,0.24197626113891602,-0.09395248542229334,-0.9475090901056925,0.021855450111130874,0.0,0.042143460359057305,109
12,0.16069841384887695,-0.06177485932906469,-0.9343303243319193,0.029645480898519358,0.0,0.04501894335739351,109
13,0.1516861915588379,-0.08153192028403282,-0.941730777422587,0.02465607530126969,0.018025163197800786,0.052947662386930806,109
14,0.15157794952392578,-0.07833983624974887,-0.9555763800938925,0.019969307320813336,0.0,0.04485197720546324,109
15,0.2617917060852051,-0.08521760155757269,-0.9188217719395956,0.028058832883834837,0.0,0.04076884327874153,109
16,0.2266249656677246,-0.08762275129556656,-0.9484603007634481,0.02772404613594214,0.0,0.03855711397172173,109
17,0.2412247657775879,-0.08654857079188029,-0.952454129854838,0.024567909787098566,0.0,0.033139572428851544,109
