epoch,time_epoch_s,d_loss_mean,g_loss_mean,gp_mean,mmd,emd_mean,n_eval
1,0.17006826400756836,-0.06753640882670879,-0.6669928034146627,0.015927426641186078,0.0,0.030824126950683484,109
2,0.132096529006958,-0.07748395552237829,-0.6644292076428732,0.01953010174135367,0.0,0.043499650888759206,109
3,0.15963196754455566,-0.07275765091180801,-0.6901255448659261,0.017762416787445546,0.0,0.05451427265967524,109
4,0.1364455223083496,-0.07764997233947118,-0.6977700789769491,0.018989891434709232,0.0,0.031910851436068324,109
5,0.12723684310913086,-0.07724584794292848,-0.7035364905993143,0.016541583153108757,0.0,0.029786667091132084,109
6,0.13225126266479492,-0.05153961516916752,-0.6954234639803568,0.018796054770549138,0.00158747715094254,0.04352328973697929,109
7,0.12042093276977539,-0.07063116369148095,-0.684821367263794,0.017059308228393397,0.0,0.040957867571783574,109
8,0.12083911895751953,-0.07783143222332001,-0.6999153097470602,0.017160629108548164,0.0,0.03673566066755872,109
9,0.10742568969726562,-0.06922188984851042,-0.6912213961283366,0.019378468083838623,0.0,0.04379525255005063,109
10,0.09739375114440918,-0.07852361885209878,-0.6933852434158325,0.017451131933679184,0.0,0.03465521291610818,109
11,0.10126018524169922,-0.06936874315142631,-0.6724287072817484,0.017883723601698875,0.0,0.03922750362338427,109
12,0.10676884651184082,-0.08114236816763878,-0.6734378337860107,0.01962661271293958,0.0,0.034012342785142355,109
13,0.10480642318725586,-0.07685869336128234,-0.678447445233663,0.019060959263394277,0.0,0.03344854398959987,109
14,0.10535264015197754,-0.08237143655618032,-0.6791563630104065,0.01578846878061692,0.0,0.03848460219556247,109
15,0.10357117652893066,-0.0736138633141915,-0.6620186368624369,0.019577085226774215,0.0,0.03609347396027524,109
16,0.10512447357177734,-0.0775054857134819,-0.6856404542922974,0.018066079479952653,0.0,0.02657615466411942,109
17,0.10414743423461914,-0.08471800064047177,-0.6903974811236063,0.01554529598603646,0.0,0.03226818816005808,109
18,0.10489249229431152,-0.07602597090105216,-0.7051509221394857,0.016710714964816967,0.0016331302921566149,0.04638960107125694,109
19,0.10409164428710938,-0.08225726063052813,-0.7131362557411194,0.015441702616711458,0.0,0.04587214102491044,109
20,0.10720181465148926,-0.07231667414307594,-0.7132590214411417,0.019673546651999156,0.0,0.03317241163836045,109
21,0.11226582527160645,-0.06545340741674105,-0.7004759907722473,0.01888627080867688,0.0,0.04058131983352514,109
22,0.1333322525024414,-0.07750224073727925,-0.7199739615122477,0.013090398286779721,0.0,0.03254887277308364,109
