Condition,MMD,MMD_IQR,Energy,Frobenius,MACE,Spearman,MI
C1,0.079219 ± 0.042897,0.031962,20.52 ± 21.26,0.7155 ± 0.4765,0.0566 ± 0.0467,0.0460 ± 0.0401,0.1015 ± 0.0526
C2,0.078069 ± 0.033048,0.027941,21.69 ± 18.92,0.8856 ± 0.5597,0.0733 ± 0.0566,0.0548 ± 0.0678,0.1184 ± 0.0586
C3,0.098825 ± 0.101721,0.043930,83.00 ± 167.76,0.8511 ± 0.8472,0.0705 ± 0.0763,0.0563 ± 0.0746,0.1033 ± 0.0307
C4,0.079052 ± 0.041917,0.027056,29.89 ± 43.88,1.1312 ± 1.0054,0.0994 ± 0.0982,0.0612 ± 0.0619,0.0984 ± 0.0555
