Condition,MMD,MMD_IQR,Energy,Frobenius,MACE,Spearman,MI
C1,0.068950 ± 0.031904,0.028651,15.00 ± 10.82,0.5734 ± 0.1585,0.0453 ± 0.0152,0.0394 ± 0.0176,0.1019 ± 0.0614
C2,0.068202 ± 0.018543,0.024309,15.16 ± 3.48,0.6092 ± 0.3066,0.0478 ± 0.0268,0.0323 ± 0.0137,0.1073 ± 0.0530
C3,0.069528 ± 0.021998,0.013951,17.85 ± 8.86,0.5437 ± 0.2665,0.0437 ± 0.0251,0.0371 ± 0.0260,0.0900 ± 0.0315
C4,0.062325 ± 0.011583,0.013216,11.44 ± 3.24,0.7775 ± 0.4493,0.0638 ± 0.0386,0.0354 ± 0.0181,0.1070 ± 0.0601
