epoch,time_epoch_s,d_loss_mean,g_loss_mean,gp_mean,mmd,emd_mean,n_eval
1,0.10983943939208984,-0.05228284311791261,-1.1257275342941284,0.015774884757896266,0.0,0.0432915802438393,109
2,0.09322404861450195,-0.04786292848487695,-1.0790585279464722,0.01599576367686192,0.0,0.05684450881794915,109
3,0.09446430206298828,-0.04292699949194988,-1.019362211227417,0.017952043997744718,0.0,0.04763076881945481,109
4,0.11273908615112305,-0.05350648903598388,-1.0516555706659954,0.016851798507074515,0.0,0.03387033090882561,109
5,0.09116291999816895,-0.06485046645005545,-1.0758838653564453,0.016878993436694145,0.0,0.033399001083352885,109
6,0.10193681716918945,-0.04103135814269384,-1.0287913878758748,0.020274426974356174,0.0,0.0363487485144952,109
7,0.11347317695617676,-0.05170248771707217,-1.049463152885437,0.01677218678717812,0.0,0.04051052158077554,109
8,0.09296679496765137,-0.05397548501690229,-1.0268237193425496,0.01148431453232964,0.0,0.03389386606908702,109
9,0.1143648624420166,-0.05833676258722941,-1.065660834312439,0.011820415904124578,0.0,0.053798568933902204,109
10,0.11557793617248535,-0.04967921587328116,-0.9783406257629395,0.01610027573381861,0.0,0.026063178687296615,109
11,0.10634326934814453,-0.03708405792713165,-1.0530020395914714,0.013318519697835048,0.0,0.04247179631702505,109
12,0.11272954940795898,-0.0644895205895106,-1.0109824339548747,0.01113106229652961,0.0,0.036326726962751486,109
13,0.10079526901245117,-0.05673988920946916,-1.0426387389500935,0.014825194142758846,0.0,0.03701626951402767,109
14,0.1212317943572998,-0.047520000115036966,-1.0124584635098774,0.015159644745290279,0.0,0.03197590788260525,109
15,0.12123250961303711,-0.05328509658575058,-1.0688413778940837,0.01304355611403783,0.0,0.03781388314568059,109
16,0.0977945327758789,-0.05120691359043121,-0.9721353054046631,0.017636284666756787,0.0,0.03705199915610985,109
17,0.09767746925354004,-0.05015910820414623,-1.0419560670852661,0.01518614695717891,0.0,0.022750156883636418,109
18,0.11334967613220215,-0.05658513568341732,-1.0292166868845622,0.012599032341192166,0.0,0.03592832813587205,109
19,0.12445449829101562,-0.052259322504202524,-1.005908449490865,0.013178070199986298,0.0,0.03307456072566084,109
20,0.12345170974731445,-0.05142910921325286,-1.0701159238815308,0.01572539396584034,0.0008447282761752106,0.0418851386089254,109
21,0.09729456901550293,-0.06166092815498511,-1.0148591597874959,0.01732206887875994,0.0009489419124655285,0.0471652300347679,109
22,0.10132336616516113,-0.04313404342780511,-1.0438601970672607,0.014824360112349192,0.019838316984365,0.04638569629736904,109
23,0.1182096004486084,-0.049457641690969466,-1.0509580771128337,0.013750883688529333,0.0,0.023529020796941025,109
24,0.11279845237731934,-0.05639120849470298,-0.9709126949310303,0.01250011334195733,0.0,0.02243888135148577,109
25,0.12392020225524902,-0.04945483741660913,-0.9344945152600607,0.020304857256511846,0.0,0.03948518590219355,109
26,0.09845161437988281,-0.06113606834163268,-0.9529871344566345,0.011844374611973763,0.0,0.040814692965755205,109
27,0.11932730674743652,-0.061592830282946424,-0.9353211323420206,0.014255360141396523,0.0,0.02732630664953595,109
28,0.10805368423461914,-0.030416273636122544,-0.9756423234939575,0.018692581572880347,0.0,0.04328494928751106,109
29,0.09160757064819336,-0.058879416063427926,-0.980445404847463,0.01332689430564642,0.0,0.028724209323362133,109
30,0.10014629364013672,-0.05459912593166034,-0.9187437494595846,0.017596825243284306,0.0021791741876437953,0.037130120201686614,109
31,0.10126328468322754,-0.03993211624523004,-0.943095842997233,0.013538726139813662,0.0,0.039771957978488474,109
32,0.10540223121643066,-0.06284196972846985,-0.9267394344011942,0.012329170946031809,0.0,0.041703989725013074,109
33,0.10331559181213379,-0.05643599567313989,-0.9418973326683044,0.013661324077596267,0.0,0.032928266608090756,109
34,0.11446762084960938,-0.05494038860003154,-0.958549698193868,0.010684491942326228,0.0,0.04827227570718413,109
35,0.12024784088134766,-0.04948077748219172,-0.9846276839574178,0.01870933994650841,0.0,0.02983892083649357,109
36,0.10599851608276367,-0.0460798008988301,-0.9731681148211161,0.017876603299130996,0.005656014298334178,0.044896125826921984,109
37,0.10067987442016602,-0.05495827458798885,-0.9837492108345032,0.010639406492312748,0.0,0.02647147393487792,109
38,0.1018364429473877,-0.05254536891976992,-0.9834518631299337,0.01609079015130798,0.0,0.028356398713549946,109
39,0.12336134910583496,-0.06176101335634788,-0.9220391114552816,0.01265313643962145,0.0,0.03184793457658494,109
40,0.1210181713104248,-0.05905565631886323,-0.9577852487564087,0.012940055939058464,0.0,0.030937331972444835,109
41,0.10038876533508301,-0.060377636551856996,-0.9124376773834229,0.010949390009045601,0.0,0.036294707290901305,109
42,0.10190749168395996,-0.03270703877011935,-0.9506711959838867,0.013504601021607717,0.0,0.048573901721586765,109
43,0.12419319152832031,-0.059943834443887074,-0.9148794412612915,0.014042620981733004,0.0,0.025519420158793934,109
44,0.10846209526062012,-0.0435864665855964,-1.0166460673014324,0.01906734500080347,0.0,0.033087893924130016,109
